(-1.42219,0)
(0.155443,-0.709033)
(0.447464,-0.304377)
(0.53882,-0.0744157)
(0.612849,0.0938559)
(0.708304,0.232397)
(0.844686,0.340183)
(1.03106,0.3944)
(1.25773,0.35611)
(1.48077,0.210119)
(1.54701,-0.0971492)
(1.42103,-0.477472)
(1.01824,-0.737814)
(0.446297,-0.649664)
(0.0266653,-0.0983467)
(0.15309,0.70907)
(0.947186,1.22069)
(1.96142,0.901164)
(2.34868,-0.157483)
(1.61345,-1.14307)
(0.424932,-1.05496)
(-0.00763092,-0.0171907)
(0.720129,0.676286)
(1.44638,0.167384)
(0.953666,-0.574672)
(0.00947354,-0.00581068)
(0.508891,1.34817)
(2.25567,1.24567)
(2.7067,-0.673066)
(1.0775,-1.69378)
(-0.127061,-0.579134)
(0.519718,0.346295)
(0.840872,-0.191019)
(-0.0476053,0.0860541)
(0.521486,1.60457)
(2.59991,1.12233)
(2.36326,-1.15783)
(0.239496,-1.12676)
(0.453214,0.589979)
(1.77896,-0.00138559)
(0.786375,-1.03997)
(0.027202,0.117808)
(1.03129,0.378191)
(0.431619,-0.299214)
(0.000388156,1.40964)
(2.6861,1.81675)
(3.22651,-1.40237)
(0.321163,-1.97542)
(-0.0125629,-0.0102273)
(0.660226,-0.206566)
(-0.0881104,0.329355)
(1.27948,1.24984)
(1.73073,-0.500213)
(-0.0291769,0.0743878)
(1.69218,1.53629)
(2.62481,-0.989345)
(0.137897,-1.08268)
(0.944538,0.643304)
(1.53573,-0.855944)
(-0.0303052,-0.531499)
(0.535553,0.223012)
(-0.234499,0.201228)
(0.80345,2.58989)
(4.10879,0.472611)
(1.50432,-2.56952)
(-0.152884,-0.227057)
(1.10338,-0.270292)
(0.022957,-0.146101)
(1.19388,0.710831)
(0.830024,-0.643996)
(0.27158,0.935038)
(1.96932,0.143219)
(0.07088,-0.202561)
(1.94696,1.88824)
(3.209,-1.54849)
(-0.179855,-1.62079)
(0.418491,0.0842051)
(0.105147,-0.177831)
(0.792971,0.890427)
(0.703982,-0.317412)
(0.22094,1.94532)
(3.90433,0.697647)
(1.25817,-2.40839)
(0.178278,0.157506)
(1.00704,-0.595005)
(0.159806,0.559329)
(1.9559,-0.00394041)
(0.217493,-0.803817)
(0.62036,0.340224)
(-0.312527,0.325496)
(1.87888,2.90829)
(4.11379,-1.38678)
(-0.152367,-1.63474)
(1.1751,0.155298)
(0.365918,-0.986502)
(0.349916,0.218779)
(-0.159379,0.170128)
(1.38377,2.0456)
(2.28847,-0.945247)
(0.136456,0.569953)
(2.71183,0.0066497)
(0.179288,-0.972084)
(1.64676,0.621505)
(0.809294,-1.36407)
(0.411275,0.348928)
(0.563981,-0.470307)
(0.49215,0.805715)
(0.433027,-0.169588)
(0.739859,2.98693)
(5.17453,-0.435477)
(0.150391,-3.0458)
(-0.0507802,-0.00033139)
(-0.0599567,0.184423)
(1.55919,0.758191)
(0.430593,-0.6577)
(1.09329,0.910883)
(0.480772,-0.445028)
(1.45972,1.91111)
(2.2256,-1.32791)
(0.328425,0.727415)
(2.63802,-0.946613)
(-0.242994,-0.920452)
(0.858169,-0.134981)
(0.00401252,0.0883883)
(0.471028,0.0102756)
(-0.197466,2.38443)
(4.53676,0.735569)
(0.458024,-2.09933)
(1.44651,0.438534)
(0.471062,-1.30179)
(0.716814,0.317455)
(0.0824868,-0.173898)
(1.67155,0.955074)
(0.635804,-1.0115)
(0.662831,0.470833)
(-0.484398,0.647647)
(3.43576,2.80963)
(2.74267,-3.21126)
(-0.295792,-0.26809)
(0.762335,-0.807475)
(0.297121,0.300976)
(0.162267,-0.163956)
(1.14648,1.22454)
(0.286303,-0.26982)
(2.27125,2.5132)
(2.6089,-2.41199)
(-0.00708013,-0.0196136)
(0.70312,-0.655384)
(1.1201,1.20465)
(1.62931,-1.55274)
(-0.0687373,-0.069278)
(-0.0952559,0.0860575)
(1.40618,1.34471)
(0.053884,-0.0802041)
(3.1968,2.73729)
(2.70426,-3.35869)
(-0.295313,-0.234975)
(0.529125,-0.764649)
(0.475233,0.297502)
(-0.175325,0.292583)
(2.13699,1.10679)
(0.274629,-0.618784)
(1.93894,0.762113)
(0.0338154,-0.155009)
(3.22937,0.85462)
(0.404635,-1.94258)
(1.18418,0.156845)
(0.0347343,-0.45408)
(1.33142,-0.00828691)
(-0.0105246,-0.160254)
(-0.192431,0.0201495)
(0.956704,4.05016)
(5.50393,-1.81714)
(-0.66589,-1.62741)
(0.974612,-0.511485)
(0.318069,0.472998)
(0.786239,-0.624521)
(0.954304,0.974391)
(0.661746,-0.783563)
(1.10417,0.741594)
(-0.13601,0.252783)
(3.1165,1.23084)
(0.294993,-0.970343)
(3.14348,0.51324)
(0.110963,-2.35924)
(0.159789,-0.00975685)
(0.121285,0.574998)
(0.543071,-0.179718)
(1.03252,2.1245)
(1.56691,-1.02142)
(1.86702,2.12797)
(2.39792,-2.67482)
(-0.0589939,-0.0305955)
(0.0823705,-0.156775)
(1.98917,0.627804)
(0.127926,-0.764638)
(1.26848,0.0162184)
(0.0447583,0.259676)
(0.0587479,-0.0118874)
(1.98562,4.07681)
(4.58689,-3.16437)
(-0.74457,-0.755783)
(0.516892,-0.688058)
(0.880745,0.458748)
(0.121414,-0.372526)
(0.740025,0.10667)
(0.0848982,2.12616)
(3.40511,-0.72535)
(0.172791,0.405031)
(1.5764,-1.00378)
(1.12847,1.22093)
(1.31762,-1.80109)
(0.791513,0.384964)
(0.186985,-0.720096)
(0.724396,0.0526412)
(0.138798,1.05535)
(0.640022,-0.205014)
(2.1449,3.70904)
(3.76034,-3.37233)
(-0.245887,-0.172379)
(0.522168,-1.14801)
(0.260562,0.0634313)
(-0.0249398,1.39802)
(2.63569,-0.527129)
(-0.0120427,-0.010124)
(-0.0444671,0.0396244)
(2.67655,2.38127)
(0.993886,-1.88713)
(2.24619,0.629195)
(0.0546978,-1.28388)
(1.63065,-0.298819)
(-0.187003,-0.4158)
(-0.0219912,0.012441)
(1.184,0.993996)
(-0.673829,1.35568)
(5.35036,1.199)
(-0.0822183,-2.61429)
(1.11808,-0.319685)
(0.327668,0.582663)
(1.04203,-0.998719)
(0.89638,0.56353)
(0.0373629,-0.13856)
(1.75509,0.0979619)
(0.0896419,0.498548)
(0.232319,-0.128241)
(3.18069,3.62529)
(2.87518,-4.28312)
(-0.414599,-0.15079)
(0.0111563,-0.190221)
(0.922121,-0.19922)
(0.417684,0.810539)
(0.0327349,-0.0411308)
(2.63762,1.61137)
(0.0880969,-0.381421)
(3.65557,-0.0519825)
(-0.317888,-1.13588)
(0.704232,-0.450522)
(1.47995,1.28916)
(0.774186,-1.66878)
(0.725968,0.100531)
(0.0295433,0.199952)
(-0.575346,0.255482)
(3.36763,3.76496)
(1.88374,-3.06958)
(2.06085,0.521247)
(-0.0767377,-1.76392)
(0.608654,-0.222118)
(0.416595,0.53374)
(-0.127897,0.183959)
(2.5035,0.784075)
(0.00446021,0.112744)
(1.65171,-0.548531)
(1.35321,1.81566)
(1.31276,-1.76517)
(2.22652,0.72938)
(0.00406249,-1.7617)
(0.457274,-0.149496)
(0.678643,0.89648)
(0.359245,-0.511925)
(0.574425,0.157521)
(0.208141,4.11606)
(6.38417,-2.491)
(-1.25884,-1.47019)
(0.176791,-0.282732)
(1.3866,0.284897)
(0.0773567,0.530164)
(1.58871,-0.808691)
(0.606558,0.569106)
(-0.106422,0.263477)
(2.09777,0.155481)
(0.646257,2.26243)
(3.31259,-2.32952)
(0.602107,0.429391)
(0.408139,-1.54226)
(0.821576,-0.0706025)
(0.0208714,0.0434972)
(-0.765191,0.800605)
(3.40293,1.49505)
